word,n
counter,3
counteract,3
cowl,3
cracking,3
crewmembers,3
criteria,3
crucial,3
crushed,3
culminating,3
curitiba,3
currents,3
cv,3
dam,3
daughter,3
deal,3
decreased,3
defect,3
deice,3
delivering,3
demanded,3
demonstration,3
depart,3
deploy,3
des,3
detach,3
detachment,3
deteriorated,3
detroit,3
develop,3
dip,3
directed,3
directing,3
disabling,3
disagreed,3
disengaged,3
disintegrate,3
display,3
division,3
documentation,3
dollars,3
drain,3
driven,3
driving,3
drowning,3
dump,3
eagle,3
edward,3
effectively,3
egypt,3
eighteen,3
emanating,3
employees,3
empress,3
empty,3
ene,3
energy,3
enforce,3
engineer's,3
ensuing,3
experts,3
explanation,3
explosions,3
extra,3
f4,3
factory,3
familiar,3
fatality,3
felix,3
fighting,3
fl330,3
flamed,3
flammable,3
flange,3
flash,3
flight's,3
floated,3
floors,3
florence,3
flotation,3
food,3
forgot,3
fourteen,3
frame,3
franklin,3
friend,3
functional,3
gaining,3
gale,3
gander,3
gauge,3
gaulle,3
geese,3
generated,3
geneva,3
golfer,3
gp,3
grossly,3
guadalajara,3
guatemala,3
guerillas,3
guide,3
guildford,3
gusting,3
gusts,3
halfway,3
headwind,3
helped,3
highlands,3
hilo,3
homer,3
howard,3
hudson,3
hull,3
hurricane,3
iceland,3
ignite,3
iii,3
il76,3
ill,3
illegal,3
illuminate,3
illusions,3
impossible,3
imprecise,3
improved,3
incapable,3
incapacitating,3
incident,3
incomplete,3
india,3
inevitable,3
infant,3
inflated,3
influenced,3
input,3
inquiry,3
inspect,3
inspections,3
instruction,3
intentions,3
interference,3
internal,3
interpretation,3
invasion,3
involuntary,3
ireland,3
irregular,3
irrigation,3
isle,3
istanbul,3
items,3
jack,3
jakarta,3
jamaica,3
james,3
jet's,3
joint,3
joseph,3
journey,3
jr,3
judge,3
jumped,3
jumping,3
kabul,3
kariba,3
kentucky,3
kirksville,3
kweilin,3
lagos,3
latched,3
latching,3
leakage,3
liberation,3
license,3
lieutenant,3
lined,3
link,3
linkage,3
lisbon,3
listed,3
localized,3
locate,3
lockheed,3
lying,3
lyon,3
magneto,3
male,3
manacapuru,3
manaus,3
manoeuvring,3
manufacture,3
manufacturer's,3
manufacturing,3
margin,3
marked,3
marsh,3
marshall,3
massachusetts,3
master,3
matter,3
mcchord,3
mcdonnell,3
meadow,3
mekong,3
memorial,3
merida,3
met,3
metroliner,3
metropolitan,3
mexican,3
miguel,3
mimimum,3
mine,3
misidentification,3
misreading,3
miss,3
mistaken,3
misunderstanding,3
misuse,3
molokai,3
motel,3
muddy,3
murdered,3
nacelles,3
nang,3
nasa,3
nascar,3
navajo,3
nbc,3
ndb,3
neglected,3
nelson,3
news,3
nighttime,3
nitrogen,3
nonprecision,3
normandy,3
nosedived,3
nosegear,3
noted,3
notify,3
nuclear,3
objects,3
obscuration,3
observers,3
obstacles,3
occasions,3
occupied,3
options,3
original,3
oslo,3
outbound,3
output,3
overhead,3
overload,3
pad,3
palermo,3
palestinian,3
parallel,3
patient,3
patrol,3
patterns,3
paul,3
pcu,3
peaks,3
penetrate,3
pennsylvania,3
perpignan,3
persist,3
peru,3
phantom,3
philadelphia,3
philippines,3
pier,3
pile,3
pilot’s,3
pine,3
placing,3
plane’s,3
plata,3
player,3
plot,3
plowed,3
plunging,3
polish,3
pond,3
pop,3
popayán,3
porpoised,3
positional,3
positions,3
potomariver,3
poured,3
powers,3
preliminary,3
preventing,3
previously,3
pro,3
produce,3
producing,3
project,3
puget,3
punctured,3
putting,3
qfe,3
quito,3
raf,3
railway,3
rains,3
ramon,3
randy,3
react,3
ready,3
receive,3
receivers,3
recently,3
record,3
reduce,3
reducing,3
regions,3
rejected,3
relay,3
relied,3
repairs,3
replace,3
replaced,3
reportedly,3
requesting,3
require,3
reservoir,3
responsibilities,3
responsible,3
restaurant,3
retain,3
reversers,3
rick,3
rigging,3
robertson,3
rodeo,3
roosevelt,3
rotors,3
rushed,3
sas,3
save,3
scraped,3
seattle,3
sections,3
securing,3
seizure,3
select,3
seminole,3
serra,3
serviced,3
servicemen,3
services,3
shear,3
shooting,3
shoulder,3
shreveport,3
sick,3
sideways,3
sign,3
significantly,3
signs,3
sixty,3
skid,3
skidding,3
skies,3
skill,3
sources,3
speculation,3
speeds,3
spring,3
spun,3
squadron,3
staten,3
statidischarge,3
stating,3
steady,3
steel,3
steward,3
stewardess,3
stopping,3
storms,3
stowed,3
strapped,3
street,3
stricken,3
strongly,3
struggled,3
student,3
students,3
su,3
subjected,3
submarine,3
submerged,3
suffering,3
sufficiently,3
suggests,3
supplemental,3
swedish,3
swimming,3
switzerland,3
table,3
taipei,3
takoff,3
tape,3
tapes,3
taxiing,3
tehran,3
telephone,3
telling,3
temperatures,3
tension,3
tested,3
testing,3
theorized,3
thermal,3
threads,3
thunder,3
tide,3
till,3
toilet,3
toll,3
toronto,3
torque,3
touching,3
trabzon,3
traces,3
transmitting,3
tropical,3
turbocharger,3
turboprop,3
turin,3
ukrainian,3
unaware,3
unconscious,3
underestimated,3
unexplained,3
unintentionally,3
unlighted,3
unreliable,3
unstable,3
unusually,3
unwise,3
updrafts,3
upside,3
upsloping,3
utah,3
valens,3
valves,3
vanished,3
venezuelan,3
vietnam,3
vietnamese,3
villagers,3
villavicencio,3
vimorrow,3
violations,3
violinist,3
virginia,3
wait,3
warsaw,3
washer,3
weeks,3
wellington,3
whyalla,3
windows,3
wing's,3
won,3
words,3
workload,3
worn,3
worsening,3
yard,3
05r,2
1engine,2
1r,2
1st,2
"2,000ft",2
"2,000m",2
22l,2
27l,2
2km,2
31l,2
6d,2
800ft,2
800m,2
8km,2
abandoning,2
abatement,2
abbas,2
abilities,2
abkhazi,2
abkhazian,2
abnormally,2
abu,2
ac,2
acceptable,2
accidently,2
accomplish,2
acknowledged,2
acquitted,2
actuator,2
adak,2
added,2
address,2
adelaide,2
adi,2
adler,2
adoption,2
advice,2
advisories,2
aerodynamiloads,2
africa,2
agana,2
agent,2
agreed,2
aide,2
aircraft’s,2
aircrew,2
airmanship,2
akron,2
alabama,2
alamosa,2
alexandria,2
algiers,2
align,2
aligned,2
aligning,2
alitiude,2
allegations,2
altimiter,2
alto,2
ambient,2
ambiguous,2
amelia,2
amounts,2
amritsar,2
amsterdam,2
anchored,2
andean,2
angles,2
announced,2
anomalies,2
anson,2
antennas,2
anticipated,2
antonio,2
apple,2
approach.the,2
approx,2
apron,2
apu,2
arabian,2
arcing,2
arkansas,2
arrived,2
artcc,2
ascended,2
ascending,2
asphyxiated,2
assessed,2
assumption,2
assumptions,2
assurance,2
assured,2
aswan,2
asymmetripower,2
ats,2
attach,2
attachments,2
attend,2
attended,2
attract,2
audible,2
australia,2
autobrake,2
automated,2
automatically,2
automatidirection,2
autorotation,2
average,2
awake,2
baco,2
bag,2
bahia,2
bahrain,2
balancing,2
bali,2
balloon,2
baltisea,2
ban,2
bandar,2
bangui,2
bar,2
bari,2
barthélémy,2
baseball,2
bates,2
battling,2
beacons,2
bed,2
behalf,2
behavior,2
belem,2
belief,2
belo,2
belonged,2
bernardino,2
bert,2
bill,2
binstock,2
birthday,2
blanc,2
blanca,2
bleed,2
blocking,2
blocks,2
blow,2
blue,2
bluefields,2
boac,2
boarded,2
boats,2
bolivian,2
bombay,2
booster,2
boot,2
boots,2
bopper,2
bosnia,2
bottles,2
boulder,2
boundaries,2
bow,2
boxing,2
brasilia,2
breaker,2
brega,2
bring,2
bristol,2
brush,2
brushed,2
buddy,2
bulgarian,2
bulletin,2
buzzing,2
c.g,2
cagay,2
cairns,2
calapan,2
calculated,2
calgary,2
callouts,2
campaign,2
canoe,2
capsule,2
captain’s,2
carelessness,2
carlos,2
carolina,2
carthage,2
caspian,2
castle,2
casual,2
cauayan,2
causal,2
cecilia,2
ceskoslovenske,2
cf,2
cg,2
ch,2
chafed,2
chairman,2
charge,2
charleston,2
checked,2
checking,2
chile,2
chingshan,2
chino,2
chosen,2
christians,2
chunking,2
chunks,2
circles,2
citation,2
ciudad,2
civilization,2
claim,2
clarence,2
clark,2
clearances,2
clemente,2
clevis,2
cloudy,2
clutch,2
coach,2
cocaine,2
colombo,2
colon,2
columnist,2
combustor,2
commencement,2
commit,2
commitment,2
communicating,2
compensation,2
complex,2
complied,2
concept,2
conductor,2
confessed,2
confidence,2
configueration,2
configured,2
confirm,2
conflict,2
conform,2
congo,2
congonhas,2
connected,2
consciousness,2
consecutive,2
consequences,2
consequent,2
considerable,2
constance,2
consumed,2
continental,2
continuous,2
contracted,2
contradictory,2
controllability,2
controversy,2
convent,2
conversation,2
cook,2
copenhagen,2
cordova,2
core,2
cores,2
correlation,2
corroded,2
counted,2
coverage,2
cowboy,2
cowling,2
craft,2
crank,2
crankshaft,2
crashd,2
creating,2
crime,2
criminal,2
cristobal,2
critically,2
croix,2
crossfeed,2
crusing,2
cruz,2
cubuk,2
culvert,2
cutter,2
cutting,2
cvr,2
cyanide,2
daily,2
dalian,2
daytime,2
dc8s,2
deactivated,2
decayed,2
deceleration,2
decent,2
declare,2
decrease,2
defence,2
defined,2
deflected,2
degradation,2
delays,2
demand,2
demolished,2
densely,2
densly,2
dependents,2
depiction,2
depot,2
deprived,2
derry,2
designated,2
detecting,2
development,2
deviate,2
deviations,2
devices,2
devil's,2
dhabi,2
diameter,2
directorate,2
disagreement,2
disc,2
discharge,2
disconnecting,2
discontinued,2
discontinuing,2
discrepancies,2
disengagement,2
disin,2
disintegrating,2
dispatcher,2
dispatching,2
displacement,2
displayed,2
distractions,2
distributed,2
divergent,2
dome,2
domodedovo,2
dong,2
dorado,2
dornacker,2
downdraught,2
dragging,2
drops,2
drunken,2
dual,2
dubai,2
dug,2
duke,2
dumping,2
dune,2
eachother,2
earhart,2
easily,2
easterly,2
efficiency,2
effort,2
efforts,2
egyptian,2
eighty,2
electing,2
elizabeth,2
elliot,2
elmendorf,2
emb,2
embedded,2
embraer,2
empennage,2
employed,2
employee,2
ems,2
enable,2
engagement,2
engine's,2
entertainer,2
entrance,2
environmental,2
epr,2
erebus,2
erie,2
erratiaction,2
estuary,2
ethiopia,2
eucalyptus,2
european,2
evacuate,2
evacuated,2
evacuating,2
events,2
eventual,2
everglades,2
evident,2
exacerbated,2
examination,2
exceed,2
exceptionally,2
exhibited,2
expect,2
expecting,2
exposed,2
exposive,2
extinguished,2
extinguishers,2
faced,2
failue,2
fairbanks,2
fairchild,2
falsely,2
familiarization,2
fare,2
fargo,2
farmhouse,2
farmlands,2
fasteners,2
faster,2
fatally,2
fatigued,2
features,2
fields,2
film,2
filming,2
filter,2
finals,2
finder,2
finding,2
finished,2
finland,2
fins,2
fire.the,2
fireball,2
firemen,2
fires,2
firing,2
fish,2
fl130,2
fl140,2
fl150,2
fl240,2
fl270,2
fl350,2
fl90,2
flameout,2
flats,2
flightcrews,2
flightpath,2
flooding,2
flowed,2
flowers,2
fluctuations,2
fluxgate,2
fms,2
fokker,2
folk,2
ford,2
form,2
fpm,2
fractures,2
france's,2
francis,2
fresh,2
fretting,2
friendly,2
frontal,2
froze,2
fueled,2
fuse,2
gabriel,2
gaines,2
garage,2
gary,2
gasbags,2
gears,2
gene,2
generators,2
geographiand,2
geographical,2
georgia,2
ghost,2
gilbert,2
gimli,2
giusto,2
gjz,2
gkl,2
glacial,2
glare,2
glassy,2
glided,2
glidepath,2
glider,2
glinka,2
goma,2
gonzales,2
goroka,2
gpsw,2
grandstands,2
granite,2
grass,2
grassy,2
gravel,2
greek,2
green,2
groton,2
grounds,2
guay,2
guerrilla,2
gulfport,2
gunfire,2
gunned,2
gyroscopicompass,2
halifax,2
hamilton,2
haneda,2
harcourt,2
hardover,2
hatch,2
hawk,2
heads,2
headwinds,2
hear,2
hearing,2
heavier,2
hedland,2
heho,2
helen,2
helideck,2
helilcopter,2
hendrick,2
hidden,2
hire,2
hk,2
holes,2
holly,2
holy,2
homicide,2
horizonte,2
horta,2
hose,2
hostages,2
howland,2
hsinchu,2
huambo,2
huanuco,2
huayna,2
hughes,2
hunt,2
hurt,2
hydrauliand,2
hydrauliemergency,2
hydraulifailure,2
hydraulipump,2
hydraulisystems,2
hydroplaning,2
hypoxia,2
i.e,2
iced,2
identical,2
idlewild,2
ignoring,2
illinois,2
illumination,2
imparement,2
implement,2
impression,2
improve,2
inappropriately,2
inattentiveness,2
inch,2
indians,2
indicators,2
indonesian,2
ineffective,2
inexperienced,2
informing,2
inherent,2
initiation,2
inoperable,2
insects,2
instrumentation,2
integrity,2
intention,2
intercepted,2
intercepting,2
intersecting,2
interstate,2
interval,2
inversion,2
investigate,2
iran,2
iran's,2
isiro,2
islamabad,2
isparta,2
issue,2
iwo,2
jackscrew,2
jam,2
jane,2
janerio,2
jets,2
jettisoned,2
jeweler,2
jim,2
jima,2
johns,2
johnson,2
jorge,2
juliana,2
july,2
june,2
kai,2
kalibo,2
kanawha,2
kauai,2
kennedy's,2
kenya,2
kerosene,2
kilimanjaro,2
kilograms,2
kilometer,2
knocked,2
kodiak,2
korea,2
krasnoyarsk,2
kts,2
kyrenia,2
lacking,2
lakehurst,2
landing.the,2
language,2
lanzhou,2
lap,2
lasted,2
latch,2
lauderdale,2
lava,2
lawrence,2
leaked,2
leaks,2
lebanese,2
legal,2
leningrad,2
leon,2
letdown,2
libya,2
libyan,2
lighted,2
likelihood,2
list,2
lists,2
liter,2
lobe,2
log,2
looked,2
loop,2
looping,2
lorient,2
louis,2
lubricating,2
lucapa,2
lufthansa,2
luis,2
lukla,2
lumber,2
lusaka,2
luxor,2
mach,2
machine,2
madre,2
magneticompass,2
magsaysay,2
mainliner,2
maiquetia,2
majority,2
malta,2
manage,2
manchester,2
manifold,2
manipulate,2
manufacturer,2
manuvers,2
maputo,2
mar,2
march,2
marciano,2
mark,2
markings,2
marsa,2
martha's,2
masks,2
mauritius,2
mccarran,2
mcgrath,2
mcguire,2
mechanics,2
mechaniwas,2
medan,2
meet,2
mehrabad,2
melting,2
mendoza,2
mentally,2
meter,2
method,2
methods,2
microphone,2
middle,2
midspar,2
migs,2
milan,2
mill,2
miller,2
million,2
millville,2
milne,2
miners,2
minnesota,2
misalignment,2
miscalculated,2
miscalculation,2
misinterpreted,2
misleading,2
misled,2
misloading,2
mississippi,2
missouri,2
misty,2
misunderstood,2
misused,2
mixing,2
mobile,2
mogadishu,2
moines,2
moisture,2
mongu,2
mont,2
monte,2
moon,2
motors,2
mountian,2
move,2
msaw,2
muhammad,2
munich,2
munson,2
musician,2
muslim,2
nagoya,2
narcotics,2
nashville,2
nationair,2
nationals,2
nato,2
natural,2
navaids,2
navigating,2
neared,2
necessity,2
needle,2
negligent,2
nevado,2
newfoundland,2
newton,2
nicaraguan,2
nice,2
ninety,2
nitro,2
northeastern,2
northerly,2
northern,2
northwestern,2
norway,2
nosedive,2
notam,2
november,2
nurse,2
nuys,2
oak,2
obispo,2
observing,2
obtaining,2
occurrences,2
occurring,2
offered,2
officers,2
offs,2
ohrid,2
operators,2
opinion,2
opted,2
orchard,2
organization,2
originally,2
originating,2
orville,2
oscillation,2
oshima,2
otay,2
otis,2
ottawa,2
outdated,2
outeniqua,2
outs,2
outskirts,2
overan,2
overcorrected,2
overcorrection,2
overflowing,2
overhang,2
overhaul,2
overlying,2
overpressurization,2
overstressed,2
owner,2
p2v,2
pacific,2
package,2
packing,2
pago,2
paid,2
pali,2
palmas,2
palmdale,2
pampa,2
panamanian,2
pancaked,2
pango,2
parachutists,2
paramediand,2
paramo,2
passage,2
passport,2
pastra,2
pasture,2
patch,2
paved,2
paz,2
pb4y,2
pc,2
pedal,2
pedestrian,2
pelee,2
perceive,2
perpendicular,2
perth,2
peruvian,2
peter,2
petroleum,2
philippine,2
phnom,2
phosphorus,2
pianist,2
pic's,2
picking,2
pico,2
piece,2
pinion,2
pins,2
pipe,2
pisa,2
pistol,2
pitchup,2
pitting,2
placement,2
plans,2
planting,2
plateau,2
platinum,2
playa,2
players,2
playground,2
playing,2
ploughed,2
plow,2
plug,2
plume,2
plummeted,2
plundered,2
pod,2
pointer,2
ponta,2
pontchartrain,2
populated,2
portable,2
portions,2
portland,2
porto,2
ports,2
posts,2
potential,2
potter,2
powerful,2
powerline,2
practices,2
prairie,2
precarious,2
precedence,2
precise,2
predicted,2
preexisting,2
preignition,2
preparations,2
preparatory,2
prepare,2
prescription,2
press,2
pressurized,2
princess,2
priority,2
pristina,2
progressed,2
propagated,2
provisions,2
psychological,2
qantas,2
qualification,2
quemoy,2
rabat,2
race,2
racing,2
radial,2
radius,2
raid,2
rail,2
railroad,2
rainforest,2
rainier,2
rainy,2
raise,2
raising,2
rangoon,2
rashed,2
rates,2
ratio,2
rcaf,2
reactionary,2
readings,2
realizing,2
reasonable,2
reception,2
reckless,2
recognition,2
reconnaissance,2
records,2
reeves,2
reflect,2
refraction,2
regained,2
regime,2
registered,2
regulation,2
reliance,2
relight,2
relit,2
remainder,2
remedy,2
removal,2
rental,2
reply,2
repositioning,2
requirement,2
rescuers,2
residental,2
restarting,2
restricting,2
restrictions,2
rev,2
review,2
revine,2
revoked,2
rhoads,2
ribs,2
richardson,2
riding,2
rikers,2
ripping,2
rockwell,2
roger,2
rogers,2
root,2
ropes,2
rotate,2
runaway,2
runway.the,2
rupture,2
rural,2
ruteng,2
sa,2
saab,2
salvador,2
sanctuary,2
sandoway,2
sanford,2
santo,2
saudi,2
scan,2
schedule,2
schiphol,2
scoop,2
scrambled,2
screen,2
screw,2
seam,2
searched,2
seatbelt,2
seawall,2
sector,2
seeking,2
seized,2
selfridge,2
send,2
sensor,2
sentence,2
sentenced,2
september,2
serano,2
settling,2
sever,2
shake,2
shaking,2
shamal,2
sheremetyevo,2
shiraz,2
shook,2
shortcomings,2
shots,2
shutoff,2
sid,2
sideslip,2
sighted,2
sighting,2
sikorsky,2
simon,2
sinatra,2
sioux,2
sister,2
sittwe,2
situations,2
size,2
skiers,2
skull,2
skydivers,2
skydiving,2
skywest,2
slamming,2
slat,2
slept,2
slick,2
slip,2
slowing,2
smooth,2
sochi,2
software,2
soldier,2
song,2
sooner,2
southerly,2
spars,2
specifically,2
specifications,2
spins,2
spiraling,2
spite,2
splitting,2
spontaneous,2
sprag,2
sprags,2
sse,2
stabbed,2
stable,2
stansted,2
starlings,2
staticonditions,2
statiports,2
stay,2
steepened,2
steer,2
steering,2
step,2
stevie,2
stewart,2
stipulated,2
stone,2
stored,2
strategies,2
stream,2
strength,2
stressed,2
strewn,2
structures,2
substandard,2
suburb,2
success,2
suck,2
suggest,2
summer,2
sun,2
sunk,2
supporting,2
supposed,2
surges,2
survey,2
surveying,2
susceptible,2
suspended,2
swampy,2
swing,2
talking,2
tallinn,2
tame,2
tandem,2
task,2
taylor,2
temporarily,2
tenerife,2
term,2
terrorism,2
tests,2
thai,2
thin,2
thread,2
threw,2
tilted,2
timing,2
tin,2
tingo,2
toledo,2
tom,2
tones,2
tony,2
tool,2
toro,2
torrential,2
toss,2
totaling,2
totally,2
towers,2
tracking,2
tractor,2
trade,2
trained,2
trainees,2
trainer,2
transmit,2
treetops,2
triggered,2
triple,2
tripoli,2
trujillo,2
tshikapa,2
tu,2
tundra,2
tuned,2
tunis,2
tupolev's,2
turkish,2
turnaround,2
turner,2
tv,2
twilight,2
tyrrhenian,2
unairworthy,2
uncertainties,2
uncertainty,2
uncontained,2
uncoordinated,2
underlying,2
understand,2
understood,2
unfamiliar,2
unfeathered,2
unintelligible,2
union,2
unlit,2
unlocked,2
unmarked,2
unnecessary,2
unpressurised,2
unserviceability,2
unwarranted,2
upslope,2
upward,2
upwards,2
user,2
usual,2
utility,2
utilize,2
utilizing,2
vacation,2
vapor,2
vectoring,2
vectors,2
verde,2
verification,2
vesna,2
vests,2
victor,2
vienna,2
vineyard,2
violation,2
visiblity,2
vision,2
visually,2
volleyball,2
von,2
voodoo,2
vr,2
vulture,2
waited,2
walked,2
walter,2
warn,2
wash,2
waterfall,2
waved,2
waves,2
wayne,2
wearing,2
weekly,2
wenzhou,2
wheat,2
whistling,2
wichita,2
williamsport,2
windmilling,2
windy,2
winston,2
wobble,2
women's,2
wooden,2
wounded,2
wright,2
wv,2
yakutat,2
yuri,2
zue,2
049s,1
06r,1
07r,1
"1,450m",1
"1,600m",1
"1,700m",1
"1,800m",1
1.5km,1
101b,1
101st,1
102a,1
105kt,1
1080m,1
10km,1
10kts,1
10l,1
"11,000ft",1
118a,1
119s,1
11in,1
12nm,1
12th,1
134a,1
134kts,1
135bj,1
13c,1
14th,1
15f,1
15l,1
16km,1
171st,1
180deg,1
18r,1
195a,1
1km,1
1mile,1
1y,1
"2,400ft",1
"2,520m",1
"2,800m",1
2.5km,1
200m,1
21nm,1
228th,1
22km,1
24l,1
25km,1
26k,1
26l,1
27deg,1
28nm,1
2nm,1
"3,000feet",1
3.5km,1
301st,1
30km,1
31c,1
33a,1
33km,1
33r,1
340b,1
35km,1
35l,1
360ft,1
36r,1
38ft,1
39th,1
3c,1
3hrs,1
3km,1
3r,1
3rds,1
"4,000m",1
4.8g,1
40m,1
46'31,1
4b,1
4c,1
4e,1
4g,1
4km,1
"5,000ft",1
509th,1
53d,1
53s,1
5l,1
5r,1
67nm,1
6g,1
7.7nm,1
700m,1
78th,1
7952246the,1
79th,1
7a,1
7b,1
7nm,1
80nm,1
84th,1
86f,1
89j,1
89th,1
8th,1
94th,1
96kt,1
99a55,1
99th,1
9d,1
a.b,1
a.g,1
a.m,1
a320,1
aad,1
aaliyah,1
ababa,1
abbreviation,1
abejorral,1
abide,1
abidjan,1
abingdon,1
ablaze,1
abnormalities,1
aboout,1
aboriginal,1
abuja,1
academy,1
acccident,1
accelerate,1
acceptance,1
accommodate,1
accompanist,1
accompanying,1
accomplice,1
accreted,1
accumulate,1
accumulative,1
achieved,1
acid,1
acoustics,1
acquired,1
acquiring,1
acting,1
activate,1
activating,1
actors,1
actuators,1
adapted,1
addis,1
addressed,1
aden,1
adfs,1
adjust,1
administrative,1
admitted,1
adolf,1
adopted,1
adquate,1
adults,1
advance,1
advancing,1
advantage,1
adventurer,1
adviser,1
advising,1
advocate,1
aegean,1
aerobatimaneuvers,1
aerobatimanoeuvre,1
aerodome,1
aerodynamiforces,1
aerodynamiperformance,1
aeromar,1
aeroperlas,1
aerospace,1
aerostar,1
aerosweet,1
affair,1
affairs,1
affect,1
afforded,1
afghanistan,1
afire,1
aftermath,1
afw,1
agadir,1
agencies,1
agency,1
agency's,1
aggressive,1
agostino,1
aguacate,1
aguadita,1
agunish,1
agusta,1
ahmed,1
aides,1
aim,1
aiming,1
air's,1
airai,1
airbags,1
airbase,1
airborn,1
aircarft,1
aircraft.the,1
aircrafted,1
aircrafts,1
airdome,1
airfame,1
airfiend,1
airfoil,1
airlift,1
airlifted,1
airliners,1
airloads,1
airlpane,1
airmail,1
airport.the,1
airs,1
airshow,1
alameda,1
alan,1
alarms,1
albania,1
alberni,1
albert,1
alberta,1
alcazaba,1
alegre,1
alejandro,1
alerted,1
alerting,1
alerts,1
alexander,1
alfabia,1
alfredo,1
algerian,1
ali,1
alianza,1
alice,1
alkali,1
allegedly,1
alleging,1
allison,1
allocated,1
allowable,1
allsup,1
alma,1
almaza,1
aloft,1
alpha,1
alteration,1
alternating,1
altimetry,1
altitude.not,1
altitudwe,1
altitutde,1
am's,1
amadeus,1
amalthea,1
amana,1
ambassador,1
ambon,1
amended,1
america,1
american's,1
amidships,1
ammo,1
ammonium,1
ammunition,1
amountain,1
amoy,1
ample,1
amplifier,1
analyze,1
analyzing,1
anderson,1
andies,1
andoas,1
andreas,1
andrew,1
andropov,1
andy,1
ane,1
angel,1
anghialos,1
anglo,1
angola,1
ankara's,1
anna,1
annette,1
anniston,1
announcing,1
annual,1
antalya,1
antananivo,1
antao,1
antarctic,1
antarctica,1
antarctiroute,1
anticipate,1
antidetonation,1
antihistamine,1
anunstabilized,1
anuradhapura,1
anvil,1
aom,1
aparent,1
apeldoorn,1
aphrodite,1
apparitions,1
appeals,1
appearing,1
appoach,1
appoximately,1
appreciably,1
apprehension,1
apprehensive,1
approacing,1
approah,1
appromately,1
appropriately,1
approximate,1
april,1
aqaba,1
aquaplaning,1
aquino,1
arabia,1
arafat,1
aratanha,1
arbetello,1
archie,1
arching,1
arctiocean,1
arctitwilight,1
ardmore,1
arenal,1
arey,1
argentia,1
argentina,1
argentine,1
arguing,1
argument,1
ariel,1
armenian,1
arming,1
arnold,1
arose,1
arrangements,1
arresting,1
arterial,1
arteriosclerosis,1
artery,1
article,1
articulated,1
artigas,1
artillery,1
asad,1
ascertaining,1
aseman,1
asheville,1
ashiya,1
ashore,1
ashraff,1
asian,1
asleep,1
aspects,1
asphalt,1
assassinas,1
assembled,1
assembly's,1
assess,1
assessing,1
assist,1
assistant,1
assisted,1
associate,1
astride,1
astrofix,1
astronaut,1
asuncion,1
asylum,1
asymetrical,1
asymmetrifuel,1
asymmetrigo,1
atalaya,1
atcs,1
atlanta,1
atlanti300,1
atlantiafter,1
atlantiand,1
atlanticoast,1
atlantiflight,1
atlantiflilght,1
atlantion,1
atlantipassenger,1
atlantitreaty,1
atlantiwhile,1
atlas,1
atlitiude,1
atmospheriicing,1
atomibombs,1
atr42,1
attacks,1
attemptin,1
attemptiong,1
attemting,1
attending,1
attitudes,1
attributable,1
au,1
audie,1
aug,1
august,1
australian,1
authorize,1
autofeathered,1
automatic,1
automatigo,1
automatipitch,1
automatispoiler,1
automatitransferring,1
automobiles,1
autopsy,1
autorotated,1
autothrottles,1
auxillary,1
auxilliary,1
avail,1
avala,1
ave,1
avert,1
avia,1
aviation's,1
aviodance,1
aviv,1
avoidable,1
awaiting,1
awakapa,1
awards,1
awkward,1
ayan,1
aycock's,1
ayudhya,1
azari,1
azucar,1
azur,1
aéreas,1
b727,1
babaker,1
babia,1
backfire,1
backfiring,1
backwards,1
bacolod,1
badly,1
baessell,1
bagasin,1
bagram,1
baguio,1
bahawalpur,1
baiao,1
bail,1
bajac,1
bakersfield,1
baku,1
balad,1
balanced,1
balboa,1
bald,1
baldwin,1
baldy,1
balked,1
ballast,1
balsalt,1
baltz,1
bamboo,1
banahaur,1
banana,1
bandaranaike,1
bandeirante,1
bandi,1
banjul,1
banning,1
baranta,1
barbados,1
barcelona,1
barges,1
barley,1
barn,1
barnes,1
barnstable,1
barnstormer,1
barre,1
barrel,1
barreling,1
barrells,1
barrigada,1
barrow,1
barskoon,1
bartholomew,1
basa,1
basement,1
basiflight,1
basin,1
basiprocedural,1
basitraining,1
basketball,1
basso,1
bateau,1
batesville,1
baton,1
batten,1
battle,1
battled,1
battles,1
baucau,1
baumhauer,1
bayou,1
beagle,1
beam,1
bear,1
beard's,1
beau,1
beauvais,1
becaon,1
bedford,1
befoe,1
begich,1
begun,1
bekessamson,1
belated,1
belfast,1
bellcranck,1
belonging,1
bengawan,1
beni,1
benning,1
benningham,1
benson,1
berau,1
bergen,1
berlevåg,1
berm,1
bernales,1
bernard,1
besar,1
bess,1
bessette,1
betty,1
bg,1
bhabha,1
bharatpur,1
bhattedanda,1
bi,1
bicycle,1
bicyclist,1
biega,1
bijlmermeer,1
bilges,1
billings,1
billiuras,1
bima,1
bin,1
binalud,1
binstock’s,1
bioko,1
birmingham,1
biscay,1
bishop,1
bit,1
blackout,1
blackwater,1
blades.the,1
blair,1
blaming,1
blancas,1
blanco,1
blanket,1
blankets,1
blansummit,1
blaze,1
bleach,1
blewett,1
blindly,1
blindness,1
block,1
blockage,1
blowdown,1
blowout,1
blues,1
blume,1
blvd,1
blyn,1
bo,1
bobby,1
boca,1
boeing's,1
bog,1
bogata,1
boggs,1
bogota's,1
boigny,1
boise,1
bolder,1
bolivia,1
bolling,1
bologna,1
bolomon,1
bolson,1
bombardier's,1
bon,1
bond,1
bonded,1
bonding,1
bonelli,1
boniface,1
